seller_id,seller_email,first_name,last_name,birthdate,seller_city,seller_state,seller_zip_prefix
SELL00027,sell00027@seller.example.com,Daniel,Nascimento,1999-11-13,Brasilia,RJ,14501
SELL00028,sell00028@seller.example.com,João,Costa,1956-11-10,Florianopolis,GO,83376
SELL00029,sell00029@seller.example.com,Marcos,Teixeira,1996-10-09,Sao Paulo,MG,17289
SELL00030,sell00030@seller.example.com,Amanda,Cardoso,1949-09-07,Brasilia,ES,85696
SELL00031,sell00031@seller.example.com,Maria,Souza,1977-02-24,Sao Paulo,MG,70639
SELL00032,sell00032@seller.example.com,Daniel,Carvalho,1993-10-17,Campinas,PR,93943
SELL00033,sell00033@seller.example.com,André,Correia,1984-06-07,Rio de Janeiro,BA,17190
SELL00034,sell00034@seller.example.com,Gustavo,Santos,1979-03-31,Goiania,SP,85972
SELL00035,sell00035@seller.example.com,Maria,Correia,1952-03-09,Florianopolis,SP,61678
SELL00036,sell00036@seller.example.com,Bruno,Rocha,1991-05-24,Brasilia,GO,73772
SELL00037,sell00037@seller.example.com,Carlos,Almeida,1976-08-12,Porto Alegre,RJ,46440
SELL00038,sell00038@seller.example.com,Beatriz,Rodrigues,1947-02-19,Rio de Janeiro,SP,21260
SELL00039,sell00039@seller.example.com,Bruno,Moreira,1983-09-08,Porto Alegre,SP,28297
SELL00040,sell00040@seller.example.com,Juliana,Castro,1989-12-23,Sao Paulo,GO,12445
SELL00041,sell00041@seller.example.com,Juliana,Martins,1955-06-21,Brasilia,RS,18976
SELL00042,sell00042@seller.example.com,Vanessa,Fernandes,1984-11-22,Brasilia,GO,93407
SELL00043,sell00043@seller.example.com,Leonardo,Lima,1978-06-30,Rio de Janeiro,MG,31275
SELL00044,sell00044@seller.example.com,Lucas,Moreira,1987-03-31,Florianopolis,SP,64386
SELL00045,sell00045@seller.example.com,Isabela,Teixeira,1959-09-23,Brasilia,MG,90507
SELL00046,sell00046@seller.example.com,Bianca,Correia,1985-01-26,Goiania,SP,75985
SELL00047,sell00047@seller.example.com,Mateus,Almeida,1961-10-20,Brasilia,MG,90643
SELL00048,sell00048@seller.example.com,Beatriz,Almeida,1992-10-22,Salvador,RS,44195
SELL00049,sell00049@seller.example.com,Carlos,Silva,1970-03-26,Belo Horizonte,DF,74168
SELL00050,sell00050@seller.example.com,Renata,Freitas,1994-04-13,Curitiba,MG,78131
SELL00051,sell00051@seller.example.com,Fernando,Rodrigues,1989-05-18,Sao Paulo,MG,61428
SELL00052,sell00052@seller.example.com,Priscila,Carvalho,1987-09-15,Campinas,ES,81301
SELL00053,sell00053@seller.example.com,Camila,Araújo,1985-01-28,Goiania,ES,67587
SELL00054,sell00054@seller.example.com,Aline,Nascimento,1999-02-26,Goiania,SC,54268
SELL00055,sell00055@seller.example.com,Thiago,Correia,1970-01-29,Rio de Janeiro,GO,84673
SELL00056,sell00056@seller.example.com,Rafael,Oliveira,1974-12-01,Goiania,RS,89807
SELL00057,sell00057@seller.example.com,Lucas,Gonçalves,1968-01-10,Salvador,GO,92946
SELL00058,sell00058@seller.example.com,Eduardo,Nascimento,1953-10-10,Brasilia,PR,85251
SELL00059,sell00059@seller.example.com,Fernando,Fernandes,1971-01-09,Curitiba,ES,79228
SELL00060,sell00060@seller.example.com,Carlos,Barbosa,1986-06-11,Goiania,SP,78585
SELL00061,sell00061@seller.example.com,Eduardo,Ribeiro,1967-11-17,Sao Paulo,BA,65298
SELL00062,sell00062@seller.example.com,Bruno,Carvalho,1987-09-10,Porto Alegre,BA,99504
SELL00063,sell00063@seller.example.com,Beatriz,Freitas,1997-02-14,Goiania,GO,49866
SELL00064,sell00064@seller.example.com,Daniel,Moreira,2000-10-03,Goiania,SP,58378
SELL00065,sell00065@seller.example.com,Isabela,Alves,1980-01-01,Florianopolis,SP,72519
SELL00066,sell00066@seller.example.com,Camila,Araújo,1976-03-07,Salvador,ES,34636
SELL00067,sell00067@seller.example.com,Marcos,Silva,1948-07-29,Sao Paulo,BA,21590
SELL00068,sell00068@seller.example.com,Camila,Souza,1990-05-07,Curitiba,RS,29990
SELL00069,sell00069@seller.example.com,Juliana,Dias,1975-02-28,Porto Alegre,ES,16669
SELL00070,sell00070@seller.example.com,Gustavo,Nascimento,1962-04-25,Porto Alegre,PR,26773
SELL00071,sell00071@seller.example.com,Daniel,Costa,1989-09-28,Salvador,MG,25648
SELL00072,sell00072@seller.example.com,Rafael,Monteiro,1965-01-11,Curitiba,RJ,80152
SELL00073,sell00073@seller.example.com,Vanessa,Nascimento,1977-10-31,Goiania,ES,19867
SELL00074,sell00074@seller.example.com,Marcos,Santos,1969-03-06,Salvador,RS,75788
SELL00075,sell00075@seller.example.com,Bianca,Souza,1976-07-14,Brasilia,BA,83588
SELL00076,sell00076@seller.example.com,Rodrigo,Mendes,1971-02-02,Rio de Janeiro,SP,95086
SELL00077,sell00077@seller.example.com,Marcos,Gomes,1999-06-26,Sao Paulo,ES,52674
SELL00078,sell00078@seller.example.com,Isabela,Fernandes,1970-10-14,Goiania,ES,69437
SELL00079,sell00079@seller.example.com,Beatriz,Ramos,1995-11-12,Goiania,GO,97843
SELL00080,sell00080@seller.example.com,Daniel,Teixeira,1946-11-29,Sao Paulo,SC,53532
SELL00081,sell00081@seller.example.com,Renata,Araújo,1992-05-07,Sao Paulo,SC,17865
SELL00082,sell00082@seller.example.com,Eduardo,Gomes,1963-02-21,Campinas,SC,60657
SELL00083,sell00083@seller.example.com,Ana,Mendes,1953-09-06,Curitiba,PR,54628
SELL00084,sell00084@seller.example.com,Gabriel,Ribeiro,1967-08-27,Campinas,SP,22705
SELL00085,sell00085@seller.example.com,Eduardo,Souza,1982-06-18,Salvador,RS,56057
SELL00086,sell00086@seller.example.com,Lucas,Carvalho,1989-10-31,Salvador,GO,41786
SELL00087,sell00087@seller.example.com,Ana,Dias,1995-10-23,Rio de Janeiro,SP,74383
SELL00088,sell00088@seller.example.com,Mariana,Monteiro,1967-07-24,Rio de Janeiro,PR,75179
SELL00089,sell00089@seller.example.com,Daniel,Rodrigues,1988-09-17,Porto Alegre,RS,47422
SELL00090,sell00090@seller.example.com,Rafael,Nascimento,1990-01-13,Goiania,DF,88754
SELL00091,sell00091@seller.example.com,Gustavo,Santos,1986-03-17,Sao Paulo,SP,54237
SELL00092,sell00092@seller.example.com,Aline,Cardoso,1947-07-20,Salvador,DF,99809
SELL00093,sell00093@seller.example.com,Ana,Gomes,1954-05-08,Salvador,DF,60450
SELL00094,sell00094@seller.example.com,Gustavo,Silva,1972-05-25,Brasilia,SP,39792
SELL00095,sell00095@seller.example.com,Patrícia,Ribeiro,1965-11-18,Salvador,ES,86978
SELL00096,sell00096@seller.example.com,Mariana,Castro,1982-04-13,Brasilia,ES,91043
SELL00097,sell00097@seller.example.com,Isabela,Teixeira,1967-10-30,Belo Horizonte,SC,73871
SELL00098,sell00098@seller.example.com,André,Alves,1973-06-21,Belo Horizonte,SP,85992
SELL00099,sell00099@seller.example.com,Leonardo,Freitas,1998-03-05,Brasilia,BA,70197
SELL00100,sell00100@seller.example.com,Felipe,Ramos,1979-02-09,Campinas,BA,21899
SELL00101,sell00101@seller.example.com,Rodrigo,Ramos,1988-06-16,Goiania,ES,42244
SELL00102,sell00102@seller.example.com,Renata,Ramos,1995-08-28,Curitiba,SP,75179
SELL00103,sell00103@seller.example.com,Bianca,Freitas,1993-08-19,Brasilia,DF,33584
SELL00104,sell00104@seller.example.com,Leonardo,Rodrigues,1976-11-03,Sao Paulo,DF,21020
SELL00105,sell00105@seller.example.com,Natália,Fernandes,1984-03-04,Rio de Janeiro,BA,42983
SELL00106,sell00106@seller.example.com,Amanda,Gomes,1995-05-19,Goiania,SC,24251
SELL00107,sell00107@seller.example.com,Natália,Oliveira,1975-09-05,Goiania,SP,81780
SELL00108,sell00108@seller.example.com,Mariana,Freitas,1977-07-25,Goiania,GO,42947
SELL00109,sell00109@seller.example.com,Camila,Castro,1986-09-16,Campinas,DF,61838
SELL00110,sell00110@seller.example.com,Eduardo,Araújo,1970-04-22,Rio de Janeiro,PR,64731
SELL00111,sell00111@seller.example.com,Felipe,Mendes,1973-07-05,Rio de Janeiro,RS,26760
SELL00112,sell00112@seller.example.com,Gabriela,Araújo,1968-07-21,Brasilia,PR,83581
SELL00113,sell00113@seller.example.com,Patrícia,Freitas,1966-09-07,Porto Alegre,PR,74646
SELL00114,sell00114@seller.example.com,Carlos,Correia,1956-10-28,Porto Alegre,GO,28211
SELL00115,sell00115@seller.example.com,Gabriel,Souza,1963-04-12,Florianopolis,MG,34156
SELL00116,sell00116@seller.example.com,Mateus,Ramos,1974-04-23,Brasilia,RS,33961
SELL00117,sell00117@seller.example.com,André,Dias,1956-09-22,Brasilia,RS,54186
SELL00118,sell00118@seller.example.com,Marcos,Lima,1994-01-28,Campinas,DF,28711
SELL00119,sell00119@seller.example.com,Amanda,Ribeiro,1962-08-11,Goiania,PR,89046
SELL00120,sell00120@seller.example.com,Vanessa,Lima,1963-03-09,Belo Horizonte,SC,39520
SELL00121,sell00121@seller.example.com,Rafael,Freitas,1965-05-31,Campinas,GO,99504
SELL00122,sell00122@seller.example.com,Beatriz,Gomes,1989-06-10,Belo Horizonte,RJ,34825
SELL00123,sell00123@seller.example.com,Beatriz,Araújo,1970-10-22,Sao Paulo,ES,82808
SELL00124,sell00124@seller.example.com,Vanessa,Carvalho,1998-11-23,Porto Alegre,DF,47504
SELL00125,sell00125@seller.example.com,Isabela,Cardoso,1993-01-25,Salvador,DF,49238
SELL00126,sell00126@seller.example.com,Letícia,Lima,1999-07-17,Belo Horizonte,GO,56883
SELL00127,sell00127@seller.example.com,Leonardo,Alves,1971-05-23,Campinas,PR,40642
SELL00128,sell00128@seller.example.com,Renata,Pereira,1955-01-08,Sao Paulo,PR,82056
SELL00129,sell00129@seller.example.com,João,Rodrigues,1963-06-01,Florianopolis,MG,38299
SELL00130,sell00130@seller.example.com,Mateus,Gomes,1972-07-30,Florianopolis,RJ,54046
SELL00131,sell00131@seller.example.com,Bianca,Freitas,1966-05-30,Brasilia,ES,94663
SELL00132,sell00132@seller.example.com,Daniel,Carvalho,1978-05-18,Belo Horizonte,SC,14576
SELL00133,sell00133@seller.example.com,Maria,Freitas,1962-02-05,Porto Alegre,DF,17183
SELL00134,sell00134@seller.example.com,Mateus,Ramos,1973-02-12,Goiania,RS,69100
SELL00135,sell00135@seller.example.com,Fernando,Dias,1947-04-09,Porto Alegre,PR,86350
SELL00136,sell00136@seller.example.com,Amanda,Costa,1993-12-02,Brasilia,GO,36352
SELL00137,sell00137@seller.example.com,Marcos,Mendes,1957-05-10,Salvador,PR,71924
SELL00138,sell00138@seller.example.com,Isabela,Monteiro,1970-08-11,Belo Horizonte,GO,58406
SELL00139,sell00139@seller.example.com,João,Lima,1950-01-31,Salvador,RS,87132
SELL00140,sell00140@seller.example.com,Leonardo,Carvalho,1950-11-22,Goiania,RJ,65552
SELL00141,sell00141@seller.example.com,Gabriela,Alves,1995-08-24,Brasilia,SC,25544
SELL00142,sell00142@seller.example.com,Diego,Moreira,1972-03-17,Porto Alegre,RS,99675
SELL00143,sell00143@seller.example.com,Gabriela,Silva,1957-04-30,Porto Alegre,RS,69418
SELL00144,sell00144@seller.example.com,Bruno,Lima,1990-01-15,Sao Paulo,GO,67173
SELL00145,sell00145@seller.example.com,Ricardo,Lima,1955-03-16,Brasilia,MG,11085
SELL00146,sell00146@seller.example.com,Gabriela,Rodrigues,1947-02-06,Florianopolis,DF,46497
SELL00147,sell00147@seller.example.com,Vanessa,Gomes,1997-07-02,Florianopolis,SC,96248
SELL00148,sell00148@seller.example.com,Thiago,Teixeira,1971-07-06,Porto Alegre,ES,11487
SELL00149,sell00149@seller.example.com,André,Monteiro,1988-02-11,Porto Alegre,PR,84076
SELL00150,sell00150@seller.example.com,Camila,Mendes,1988-12-12,Belo Horizonte,SC,34989
SELL00151,sell00151@seller.example.com,Marcos,Barbosa,1985-07-08,Belo Horizonte,ES,91491
SELL00152,sell00152@seller.example.com,Bianca,Araújo,1976-07-26,Rio de Janeiro,RS,50105
SELL00153,sell00153@seller.example.com,Letícia,Martins,1962-07-17,Campinas,GO,56369
SELL00154,sell00154@seller.example.com,João,Martins,1950-08-11,Brasilia,BA,17102
SELL00155,sell00155@seller.example.com,Vanessa,Martins,1968-08-26,Belo Horizonte,GO,76545
SELL00156,sell00156@seller.example.com,Ana,Freitas,1988-11-10,Porto Alegre,GO,30766
SELL00157,sell00157@seller.example.com,Patrícia,Rodrigues,1956-03-27,Goiania,SC,73794
SELL00158,sell00158@seller.example.com,Pedro,Ribeiro,1951-11-12,Porto Alegre,SC,98625
SELL00159,sell00159@seller.example.com,Mateus,Rocha,1981-12-13,Brasilia,SC,84509
SELL00160,sell00160@seller.example.com,Camila,Teixeira,1990-02-12,Florianopolis,RS,13079
SELL00161,sell00161@seller.example.com,Ricardo,Dias,1952-08-24,Salvador,GO,96372
SELL00162,sell00162@seller.example.com,Rodrigo,Teixeira,1997-10-07,Porto Alegre,SC,22167
SELL00163,sell00163@seller.example.com,Gabriel,Ramos,1950-10-23,Sao Paulo,BA,77722
SELL00164,sell00164@seller.example.com,Rodrigo,Costa,1959-08-12,Brasilia,RJ,54279
SELL00165,sell00165@seller.example.com,Aline,Freitas,1959-05-21,Curitiba,ES,19398
SELL00166,sell00166@seller.example.com,Carlos,Oliveira,1996-06-30,Porto Alegre,BA,71140
SELL00167,sell00167@seller.example.com,Carlos,Lima,1973-04-05,Sao Paulo,MG,14518
SELL00168,sell00168@seller.example.com,Patrícia,Ribeiro,1953-08-23,Belo Horizonte,GO,55452
SELL00169,sell00169@seller.example.com,Rafael,Freitas,1968-04-07,Rio de Janeiro,GO,59456
SELL00170,sell00170@seller.example.com,Bianca,Barbosa,1956-08-17,Rio de Janeiro,BA,64290
SELL00171,sell00171@seller.example.com,Felipe,Mendes,1996-01-25,Sao Paulo,GO,46222
SELL00172,sell00172@seller.example.com,Felipe,Araújo,1983-05-04,Florianopolis,GO,16082
SELL00173,sell00173@seller.example.com,Fernanda,Oliveira,2000-05-24,Brasilia,PR,32111
SELL00174,sell00174@seller.example.com,Renata,Moreira,1999-06-25,Belo Horizonte,ES,29939
SELL00175,sell00175@seller.example.com,Marcos,Gonçalves,1966-04-01,Sao Paulo,SC,61826
SELL00176,sell00176@seller.example.com,Leonardo,Almeida,1992-11-18,Goiania,BA,62582
SELL00177,sell00177@seller.example.com,Letícia,Freitas,1980-02-16,Rio de Janeiro,RS,58819
SELL00178,sell00178@seller.example.com,Vanessa,Lima,1986-06-02,Belo Horizonte,RJ,83076
SELL00179,sell00179@seller.example.com,Amanda,Almeida,1985-09-20,Florianopolis,RS,29533
SELL00180,sell00180@seller.example.com,Gustavo,Teixeira,1972-09-04,Belo Horizonte,ES,57430
SELL00181,sell00181@seller.example.com,Bianca,Rodrigues,1998-10-19,Campinas,MG,13347
SELL00182,sell00182@seller.example.com,Thiago,Pereira,1984-06-21,Sao Paulo,BA,58479
SELL00183,sell00183@seller.example.com,Ricardo,Silva,1973-05-25,Salvador,RS,13949
SELL00184,sell00184@seller.example.com,Mariana,Santos,1997-01-05,Goiania,MG,26888
SELL00185,sell00185@seller.example.com,Camila,Almeida,1951-05-28,Brasilia,PR,83301
SELL00186,sell00186@seller.example.com,Carolina,Rocha,2000-09-10,Campinas,RJ,40084
SELL00187,sell00187@seller.example.com,Letícia,Mendes,1954-11-26,Brasilia,GO,46174
SELL00188,sell00188@seller.example.com,Carolina,Correia,1964-08-22,Porto Alegre,RS,62669
SELL00189,sell00189@seller.example.com,Mateus,Gonçalves,1964-12-06,Sao Paulo,BA,73996
SELL00190,sell00190@seller.example.com,Rodrigo,Oliveira,1969-09-28,Sao Paulo,RJ,53664
SELL00191,sell00191@seller.example.com,Eduardo,Martins,1953-04-14,Brasilia,GO,57634
SELL00192,sell00192@seller.example.com,Rafael,Gomes,1960-02-03,Salvador,SC,80793
SELL00193,sell00193@seller.example.com,Maria,Dias,1967-07-09,Porto Alegre,PR,48291
SELL00194,sell00194@seller.example.com,Pedro,Barbosa,1961-08-05,Goiania,MG,19910
SELL00195,sell00195@seller.example.com,Natália,Monteiro,1995-07-10,Belo Horizonte,PR,40604
SELL00196,sell00196@seller.example.com,Renata,Rodrigues,1952-09-25,Campinas,GO,30883
SELL00197,sell00197@seller.example.com,Eduardo,Cardoso,1960-01-17,Curitiba,BA,63726
SELL00198,sell00198@seller.example.com,Natália,Cardoso,1946-03-29,Florianopolis,MG,66017
SELL00199,sell00199@seller.example.com,Eduardo,Carvalho,1982-08-26,Curitiba,DF,99647
SELL00200,sell00200@seller.example.com,João,Rocha,1986-06-02,Campinas,BA,47083
SELL00201,sell00201@seller.example.com,Rafael,Carvalho,1999-04-11,Curitiba,RS,64467
SELL00202,sell00202@seller.example.com,Gabriel,Almeida,1988-02-28,Brasilia,PR,23271
SELL00203,sell00203@seller.example.com,Eduardo,Pereira,1972-02-17,Belo Horizonte,GO,63931
SELL00204,sell00204@seller.example.com,Rafael,Barbosa,1948-12-05,Brasilia,RS,74456
SELL00205,sell00205@seller.example.com,Lucas,Cardoso,1966-10-08,Belo Horizonte,RJ,48574
SELL00206,sell00206@seller.example.com,Maria,Silva,1971-11-06,Porto Alegre,ES,61121
SELL00207,sell00207@seller.example.com,Rafael,Dias,1971-05-14,Sao Paulo,SP,37679
SELL00208,sell00208@seller.example.com,Gabriela,Gonçalves,1986-09-25,Florianopolis,DF,86794
SELL00209,sell00209@seller.example.com,Rodrigo,Correia,1952-05-21,Rio de Janeiro,RS,11759
SELL00210,sell00210@seller.example.com,Daniel,Gonçalves,1966-12-10,Belo Horizonte,ES,65718
SELL00211,sell00211@seller.example.com,Patrícia,Dias,1969-09-25,Sao Paulo,MG,38628
SELL00212,sell00212@seller.example.com,Gustavo,Souza,1998-11-30,Florianopolis,BA,39675
SELL00213,sell00213@seller.example.com,Bianca,Gonçalves,1963-10-01,Porto Alegre,MG,28665
SELL00214,sell00214@seller.example.com,Felipe,Gomes,1984-02-21,Goiania,GO,72268
SELL00215,sell00215@seller.example.com,Aline,Almeida,1956-04-18,Rio de Janeiro,BA,21226
SELL00216,sell00216@seller.example.com,Aline,Costa,1994-11-09,Brasilia,RJ,57982
SELL00217,sell00217@seller.example.com,Fernanda,Teixeira,1966-03-03,Campinas,MG,27507
SELL00218,sell00218@seller.example.com,Rodrigo,Cardoso,1959-05-15,Belo Horizonte,DF,81367
SELL00219,sell00219@seller.example.com,Fernanda,Ribeiro,1969-10-31,Florianopolis,BA,11234
SELL00220,sell00220@seller.example.com,Larissa,Martins,1958-10-05,Florianopolis,MG,66028
SELL00221,sell00221@seller.example.com,Thiago,Santos,1952-05-28,Goiania,DF,15956
SELL00222,sell00222@seller.example.com,Bruno,Alves,1951-05-09,Florianopolis,ES,59826
SELL00223,sell00223@seller.example.com,Bruno,Almeida,1960-11-19,Brasilia,RJ,28689
SELL00224,sell00224@seller.example.com,Amanda,Castro,1973-08-06,Porto Alegre,RJ,76804
SELL00225,sell00225@seller.example.com,Juliana,Correia,1999-05-21,Goiania,BA,31481
SELL00226,sell00226@seller.example.com,Amanda,Souza,1997-01-24,Goiania,DF,95141
SELL00227,sell00227@seller.example.com,Larissa,Martins,1971-11-23,Brasilia,PR,96639
SELL00228,sell00228@seller.example.com,Isabela,Pereira,1985-05-26,Belo Horizonte,RJ,14194
SELL00229,sell00229@seller.example.com,Gabriel,Teixeira,1957-02-26,Salvador,GO,38370
SELL00230,sell00230@seller.example.com,Bruno,Martins,1988-01-19,Sao Paulo,PR,20251
SELL00231,sell00231@seller.example.com,Gabriel,Freitas,1973-04-13,Curitiba,MG,73356
SELL00232,sell00232@seller.example.com,Mariana,Ribeiro,1982-02-10,Porto Alegre,ES,93169
SELL00233,sell00233@seller.example.com,Maria,Alves,1970-06-04,Salvador,RJ,14029
SELL00234,sell00234@seller.example.com,Bruno,Mendes,1990-11-25,Florianopolis,ES,78396
SELL00235,sell00235@seller.example.com,Rodrigo,Araújo,1994-06-12,Florianopolis,RJ,79049
SELL00236,sell00236@seller.example.com,Thiago,Gonçalves,1990-04-20,Rio de Janeiro,SP,45987
SELL00237,sell00237@seller.example.com,Thiago,Dias,1985-04-10,Rio de Janeiro,GO,51138
SELL00238,sell00238@seller.example.com,Bianca,Martins,1953-03-20,Rio de Janeiro,SC,80466
SELL00239,sell00239@seller.example.com,Carolina,Mendes,1999-08-27,Goiania,SC,14677
SELL00240,sell00240@seller.example.com,Felipe,Moreira,1949-07-30,Brasilia,RS,15472
SELL00241,sell00241@seller.example.com,Amanda,Ramos,1984-10-04,Salvador,RJ,49476
SELL00242,sell00242@seller.example.com,Diego,Dias,1974-12-01,Sao Paulo,GO,99761
SELL00243,sell00243@seller.example.com,Daniel,Ribeiro,2000-02-29,Campinas,MG,23728
SELL00244,sell00244@seller.example.com,Isabela,Gomes,1968-06-18,Brasilia,SC,34214
SELL00245,sell00245@seller.example.com,Rodrigo,Moreira,1948-04-27,Campinas,RS,56649
SELL00246,sell00246@seller.example.com,Rafael,Castro,1954-03-12,Curitiba,PR,88019
SELL00247,sell00247@seller.example.com,Carolina,Alves,1966-07-16,Porto Alegre,ES,45297
SELL00248,sell00248@seller.example.com,Renata,Martins,1997-08-09,Porto Alegre,PR,84663
SELL00249,sell00249@seller.example.com,Bruno,Dias,1998-09-03,Campinas,GO,66622
SELL00250,sell00250@seller.example.com,Gabriel,Costa,1947-11-11,Brasilia,DF,78009
SELL00251,sell00251@seller.example.com,Bianca,Ramos,1970-03-07,Goiania,RJ,14662
SELL00252,sell00252@seller.example.com,João,Correia,1997-09-12,Florianopolis,SC,50496
SELL00253,sell00253@seller.example.com,Carlos,Rocha,1949-08-11,Goiania,SC,12665
SELL00254,sell00254@seller.example.com,Rodrigo,Martins,1961-09-19,Goiania,PR,86720
SELL00255,sell00255@seller.example.com,Marcos,Nascimento,1988-03-18,Sao Paulo,SC,55942
SELL00256,sell00256@seller.example.com,Larissa,Gonçalves,1992-07-23,Salvador,PR,18475
SELL00257,sell00257@seller.example.com,Patrícia,Almeida,1985-09-03,Campinas,RJ,47239
SELL00258,sell00258@seller.example.com,Fernanda,Moreira,1970-12-15,Curitiba,PR,32903
SELL00259,sell00259@seller.example.com,Gustavo,Barbosa,1962-04-14,Curitiba,SP,71134
SELL00260,sell00260@seller.example.com,Mariana,Nascimento,1998-07-07,Porto Alegre,MG,27171
SELL00261,sell00261@seller.example.com,Gabriel,Gonçalves,1985-02-08,Brasilia,BA,22660
SELL00262,sell00262@seller.example.com,Marcos,Gonçalves,1990-02-11,Porto Alegre,RS,68200
SELL00263,sell00263@seller.example.com,Beatriz,Ribeiro,1954-03-09,Curitiba,DF,52658
SELL00264,sell00264@seller.example.com,João,Rocha,1988-03-02,Brasilia,MG,33289
SELL00265,sell00265@seller.example.com,Beatriz,Barbosa,1977-03-20,Porto Alegre,BA,17988
SELL00266,sell00266@seller.example.com,Leonardo,Almeida,1982-08-20,Brasilia,RJ,49974
SELL00267,sell00267@seller.example.com,Isabela,Nascimento,1975-11-26,Sao Paulo,DF,42052
SELL00268,sell00268@seller.example.com,Fernando,Martins,1974-10-21,Belo Horizonte,MG,55154
SELL00269,sell00269@seller.example.com,Amanda,Oliveira,1955-05-21,Salvador,SC,12421
SELL00270,sell00270@seller.example.com,Renata,Cardoso,1960-06-05,Sao Paulo,RJ,70149
SELL00271,sell00271@seller.example.com,Patrícia,Lima,1975-08-04,Porto Alegre,BA,79467
SELL00272,sell00272@seller.example.com,André,Almeida,1982-12-06,Florianopolis,RS,81561
SELL00273,sell00273@seller.example.com,Thiago,Nascimento,1990-06-14,Sao Paulo,SC,51584
SELL00274,sell00274@seller.example.com,Fernando,Araújo,1971-11-10,Salvador,RJ,36176
SELL00275,sell00275@seller.example.com,Gustavo,Araújo,1981-12-05,Campinas,MG,57540
SELL00276,sell00276@seller.example.com,Gabriel,Dias,1995-05-09,Campinas,MG,55305
SELL00277,sell00277@seller.example.com,Natália,Alves,1949-04-17,Belo Horizonte,RS,47273
SELL00278,sell00278@seller.example.com,Bianca,Oliveira,1986-10-21,Curitiba,SP,98801
SELL00279,sell00279@seller.example.com,Gabriel,Pereira,1953-11-25,Sao Paulo,SC,52369
SELL00280,sell00280@seller.example.com,Ana,Pereira,1974-03-21,Curitiba,SC,54827
SELL00281,sell00281@seller.example.com,Gabriel,Almeida,1968-08-23,Porto Alegre,RS,88931
SELL00282,sell00282@seller.example.com,Gabriel,Carvalho,1975-01-02,Salvador,DF,53930
SELL00283,sell00283@seller.example.com,Natália,Cardoso,1956-05-26,Porto Alegre,PR,76334
SELL00284,sell00284@seller.example.com,Fernanda,Pereira,1982-04-06,Brasilia,GO,13462
SELL00285,sell00285@seller.example.com,Gabriela,Cardoso,1992-03-02,Salvador,RS,60479
SELL00286,sell00286@seller.example.com,Letícia,Rodrigues,1946-02-07,Sao Paulo,BA,17449
SELL00287,sell00287@seller.example.com,Marcos,Oliveira,1994-09-05,Rio de Janeiro,GO,68038
SELL00288,sell00288@seller.example.com,Gabriel,Gomes,1987-06-13,Salvador,GO,70760
